mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_model__dropout_rate,param_model__learning_rate,param_model__neurons_l1,param_model__neurons_l2,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
486.8684377670288,139.74630434657354,24.518502632776897,4.881236137802715,1024,0.2,0.0002051338263087451,138,106,"{'batch_size': 1024, 'model__dropout_rate': 0.2, 'model__learning_rate': np.float64(0.0002051338263087451), 'model__neurons_l1': 138, 'model__neurons_l2': 106}",0.9503425060615334,0.9504549245918648,0.9504052455311159,0.9504008920615047,4.5997797148049345e-05,1
198.9661350250244,34.950599877669006,6.986065705617269,4.2081254091623235,4096,0.2,0.0007961566078062948,81,35,"{'batch_size': 4096, 'model__dropout_rate': 0.2, 'model__learning_rate': np.float64(0.0007961566078062948), 'model__neurons_l1': 81, 'model__neurons_l2': 35}",0.9498896868639678,0.9501344889860444,0.9502903196317408,0.950104831827251,0.000164896561423901,2
423.8036675453186,71.32208270621238,39.18677043914795,7.341069244429145,4096,0.4,0.0006305535040199287,251,111,"{'batch_size': 4096, 'model__dropout_rate': 0.4, 'model__learning_rate': np.float64(0.0006305535040199287), 'model__neurons_l1': 251, 'model__neurons_l2': 111}",0.9494578305277234,0.9495673875399352,0.950194913817879,0.9497400439618459,0.0003247364307423429,3
461.6035671234131,23.959025150624093,50.47448468208313,7.13741986215629,4096,0.3,0.00015177941306507495,253,82,"{'batch_size': 4096, 'model__dropout_rate': 0.3, 'model__learning_rate': np.float64(0.00015177941306507495), 'model__neurons_l1': 253, 'model__neurons_l2': 82}",0.9494741493592577,0.9483747948047662,0.948751689047311,0.9488668777371116,0.0004561406470331932,4
369.6749361356099,32.78083023313261,54.702734549840294,10.653154051147105,2048,0.3,0.00010330768043240415,152,80,"{'batch_size': 2048, 'model__dropout_rate': 0.3, 'model__learning_rate': np.float64(0.00010330768043240415), 'model__neurons_l1': 152, 'model__neurons_l2': 80}",0.9488046162886771,0.9483190445498076,0.9492072102882818,0.9487769570422554,0.0003631192367843719,5
379.4282778104146,24.149642325669,41.50421873728434,4.293240241842886,1024,0.5,0.0001930783753654715,194,53,"{'batch_size': 1024, 'model__dropout_rate': 0.5, 'model__learning_rate': np.float64(0.0001930783753654715), 'model__neurons_l1': 194, 'model__neurons_l2': 53}",0.9484310494516204,0.9488655134982066,0.9484290172021361,0.9485751933839878,0.00020528899799963574,6
403.822598695755,21.484812071493735,37.79688572883606,7.547778067882777,4096,0.5,0.0015304852121831463,194,82,"{'batch_size': 4096, 'model__dropout_rate': 0.5, 'model__learning_rate': np.float64(0.0015304852121831463), 'model__neurons_l1': 194, 'model__neurons_l2': 82}",0.9435282461970319,0.9445453526841264,0.9409820034477512,0.9430185341096365,0.0014987148392587887,7
456.91376821200055,45.9742268434664,48.78929893175761,10.989169784417575,1024,0.3,0.0027796975515266818,221,69,"{'batch_size': 1024, 'model__dropout_rate': 0.3, 'model__learning_rate': np.float64(0.0027796975515266818), 'model__neurons_l1': 221, 'model__neurons_l2': 69}",0.944549830041179,0.9291726864548278,0.9465560134231545,0.940092843306387,0.007765031109082241,8
445.6819766362508,74.71760481394908,25.550963004430134,7.0569297803864375,4096,0.5,0.007969454818643935,170,103,"{'batch_size': 4096, 'model__dropout_rate': 0.5, 'model__learning_rate': np.float64(0.007969454818643935), 'model__neurons_l1': 170, 'model__neurons_l2': 103}",0.9234336483302675,0.9447842998585573,0.945595591988268,0.9379378467256977,0.01026136368619136,9
409.76767381032306,12.54601215472712,39.772089878718056,0.890222640849559,2048,0.5,0.0096476850757201,224,107,"{'batch_size': 2048, 'model__dropout_rate': 0.5, 'model__learning_rate': np.float64(0.0096476850757201), 'model__neurons_l1': 224, 'model__neurons_l2': 107}",0.9260644547118722,0.9213667373731583,0.9441889076646842,0.9305400332499049,0.009839917568808736,10
